Month,ENG_RP,ENG_RB,ENG_NN,ENG_VB,ENG_FW,ENG_JJ,ENG_JJR,ENG_JJS,ENG_NNP,ENG_NNS,ENG_POS,ENG_RBR,ENG_RBS,ENG_VBD,ENG_VBG,ENG_VBN,ENG_VBP,ENG_VBZ
14-11-2016,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0
5-4-2015,0,0,5,0,2,1,0,0,2,2,0,0,0,0,0,0,2,0
20-9-2013,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20-3-2014,0,1,4,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0
1-10-2015,0,0,35,1,0,3,0,0,14,1,0,0,0,1,0,0,1,3
15-8-2013,0,0,14,0,0,2,0,0,5,5,0,0,0,2,0,0,1,0
1-11-2011,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15-4-2013,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7-9-2013,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-1-2015,0,2,34,0,6,13,0,0,12,1,0,0,0,1,0,0,2,1
25-8-2014,0,0,31,0,2,4,0,0,14,2,0,0,0,0,0,0,0,3
30-5-2015,0,0,3,0,0,1,0,0,4,1,0,0,0,2,0,0,0,0
5-10-2013,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-3-2016,0,0,13,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0
10-10-2016,0,0,8,0,0,2,0,0,2,3,0,0,0,0,0,0,0,1
5-12-2014,0,0,9,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
23-8-2012,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
12-11-2013,0,0,7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
15-7-2016,0,4,34,1,4,5,0,0,13,5,0,0,0,1,1,1,2,3
9-4-2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-8-2016,0,1,17,0,0,3,0,0,3,3,0,0,0,1,0,0,3,1
14-3-2015,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
30-11-2014,0,3,87,0,9,25,1,0,15,15,2,0,0,2,1,1,11,3
13-2-2013,0,2,4,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0
4-9-2011,0,6,84,1,2,18,0,0,10,5,0,0,0,1,0,2,5,2
30-10-2016,0,1,7,0,0,2,0,0,2,1,0,0,0,0,0,0,2,0
7-8-2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-10-2013,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-4-2014,0,0,4,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0
5-5-2016,0,1,13,0,0,2,0,0,3,4,0,0,0,1,2,0,3,0
31-10-2011,0,0,9,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0
17-11-2015,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-12-2015,0,0,6,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0
17-4-2016,0,1,2,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0
25-11-2015,0,0,9,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
14-6-2013,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-7-2016,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
5-2-2016,0,0,4,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0
3-7-2015,0,0,7,0,0,2,0,0,5,1,0,0,0,0,0,0,1,0
26-9-2011,0,3,100,5,8,18,0,0,2,6,0,0,0,1,1,0,5,7
26-1-2015,0,0,7,0,1,1,0,0,4,1,0,0,0,0,0,0,1,1
26-12-2014,0,0,54,0,9,7,0,0,26,6,0,0,0,0,0,1,2,6
13-11-2012,0,3,12,0,0,5,1,0,0,3,0,0,0,1,0,0,0,0
7-8-2016,0,0,13,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0
24-2-2016,0,3,12,0,0,5,0,0,12,2,0,0,0,1,2,0,2,0
22-10-2012,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
26-8-2012,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
15-10-2016,0,1,17,0,3,1,0,0,9,6,0,0,0,0,0,0,0,0
20-12-2014,0,0,5,0,0,0,0,0,2,1,0,0,0,1,0,0,2,0
5-10-2014,0,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0
9-10-2013,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8-4-2015,0,1,9,0,0,5,0,0,5,2,0,0,0,0,0,0,1,1
17-7-2016,0,5,26,0,0,1,0,0,41,3,0,0,0,0,1,0,2,0
27-7-2016,0,7,180,2,29,30,1,0,21,10,0,1,0,1,2,0,4,11
10-7-2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-2-2016,0,0,4,1,0,1,0,0,0,2,0,0,0,0,1,1,1,0
26-4-2012,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-11-2013,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
